commit,date,total_complexity,function_count,average_complexity
63e935faa2736d73850c4f879733e9aee4e9ec71,2015-05-16,0,1,0.0
bc84b68eaf95ecc532a9a6c698eb1770b105d396,2015-06-01,0,0,0.0
cc252b231d962f400d832774f196a32c035e086e,2015-03-19,0,0,0.0
5775178936478ffd180d453dec78c9c4f3758975,2015-04-10,0,0,0.0
3ef4217051fc8677b110190839dd62d62465852c,2015-07-02,0,0,0.0
fa9b44dd20cffa3e9e6b233cf844e45c47c92907,2015-08-04,0,1,0.0
8576a8deea690bca76209cc7fcb424e712fd1fb4,2015-09-01,0,1,0.0
d741a9c97fe364c403ec8a962c745b52dbf3106b,2015-10-01,0,1,0.0
5f5166c2d4a2d632e31afb1632990acc89f2213f,2015-11-01,0,1,0.0
149886d9cb7af4cc787167da78297e886779177f,2015-12-01,0,1,0.0
3e238d5b42cb53e854c8c2ef5f5c53c67b539cee,2016-01-02,0,1,0.0
c14226036399dfc01031724fef9955d44d611fb7,2016-02-01,0,1,0.0
3f437d3f18512aac37efed6246acda1de30d46e1,2016-03-01,0,1,0.0
2d059cfcaad967244a71f105aa68cbfae1d3d6ab,2016-04-01,0,1,0.0
21eb1379196dffdfe0d07fdc8341ca8fe4583cee,2016-05-05,0,1,0.0
a9847a3837d577c0293237333ef67645c5bddf69,2016-06-13,0,1,0.0
b50a6f23f83f0970cfb294512b36081a034506ee,2016-07-02,0,1,0.0
3314842634611cdeeecb74e10dfc86269cfab1ce,2016-08-02,0,1,0.0
87feb5e5331f19e66138e2aa013cbb88fe61d6b4,2016-09-03,0,1,0.0
ddd46574998a98117e08dd5774012849ba1e18bc,2016-10-05,0,1,0.0
06c96e76f2376dfa791e77a98c77cd192a06c8c2,2016-11-01,0,1,0.0
19fa378d3bb450c19f3480319400094f5847ff3c,2016-12-01,0,1,0.0
3347c174da0052a988c2729457a8d479d118bf13,2017-01-01,0,1,0.0
e334e8e51fb91d4891c50fa93fa7760403c4ccde,2017-02-01,0,1,0.0
a725bd1d19e33ef4e3503fd2cb8b388aa9276a0d,2017-03-01,0,1,0.0
24fc78459409f01d00cfeafd31b622fdfa2bd9d0,2017-04-02,0,1,0.0
ff987e1ba0ec0aa3c387175426b622dd2b0b546b,2017-05-06,0,1,0.0
1c0350353c1bb0503e507d0bb9a587b9e0398bea,2017-06-02,0,1,0.0
e54607b8272534069f2a6fa1704b57eada8d0249,2017-07-05,0,1,0.0
173488451955010eca0854db06b39ff83eae5688,2017-08-12,0,1,0.0
c5a4d7a0e9a78ec0bbfd953a397fbae1de7fd271,2017-09-02,0,1,0.0
617ff5bb4b9e9150eb7b0b987bc3ded2099c64d3,2017-10-03,0,1,0.0
